companies,address,rating,total_ratings
Vijaya Management Services,"Deccan Gymkhana, Pune, 411004",3.3,75.89999999999999
Vintage HR Corporate Consultants,"Moshi, Pimpri Chinchwad, 410105",4.6,23.0
Citrus HR Consultants,"Andheri East, Mumbai, 400059",5.0,15.0
Career Choice Solution,"Vashi, Mumbai, 400705",4.7,244.4
Digigen Technology Pvt. Ltd.,"Uttam Nagar, Delhi, 110059",4.3,25.799999999999997
Gateway HR Consultants Private Limited,"Pune R.S., Pune, 412105",5.0,95.0
Ideal Crew Technology,"Balaji Nagar, Pune, 411043",3.0,3.0
Inspire People Consultancy,"Ganga Nagar, Bangalore, 560032",4.7,51.7
Orbitouch Outsourcing Pvt. Ltd.,"Tilak Nagar, Delhi, 110057",5.0,155.0
Global Talent Pool ,"Mathikere, Bangalore, 560054",5.0,15.0
